,GNN_Agent,EqualWeight,SPY
2020-01-02,999748.4600716896,1010706.4762016174,1000000.0
2020-01-03,995260.9235548193,1001328.5989017824,1000000.0
2020-01-06,998044.4325728677,1006158.6804670617,1000000.0
2020-01-07,993712.7037045483,1003957.3171568986,1000000.0
2020-01-08,998236.9991984405,1005116.9379208887,1000000.0
2020-01-09,1008494.0234541198,1014544.8294500401,1000000.0
2020-01-10,1008355.646062586,1011757.9767516989,1000000.0
2020-01-13,1012553.1077664172,1017659.7125805615,1000000.0
2020-01-14,1014760.6469843822,1018556.8828018532,1000000.0
2020-01-15,1022398.3002459487,1018798.4066021653,1000000.0
2020-01-16,1026416.7888155953,1026747.4157269532,1000000.0
2020-01-17,1028167.7272439111,1027878.1975948667,1000000.0
2020-01-21,1027617.3522316847,1023937.5590610788,1000000.0
2020-01-22,1029199.9055484484,1024679.7954517277,1000000.0
2020-01-23,1030792.8912461759,1023045.3237242934,1000000.0
2020-01-24,1024578.2693064796,1013601.048461156,1000000.0
2020-01-27,1017669.3075231757,994734.3939302161,1000000.0
2020-01-28,1016507.5558578463,1003257.3156786442,1000000.0
2020-01-29,1015174.5166414896,998613.7653349882,1000000.0
2020-01-30,1026461.2630517567,1004953.8402944626,1000000.0
2020-01-31,1013475.7230317879,983676.3144264241,1000000.0
2020-02-03,1016943.3251448728,986962.7578568537,1000000.0
2020-02-04,1023150.0057332698,1000660.1576000495,1000000.0
2020-02-05,1034609.3619118903,1017203.2329137645,1000000.0
2020-02-06,1033337.6200545438,1016822.7939770654,1000000.0
2020-02-07,1030732.1481463097,1012588.8445555742,1000000.0
2020-02-10,1031756.8774284853,1018457.5338527455,1000000.0
2020-02-11,1033054.0052376011,1023898.8695057713,1000000.0
2020-02-12,1036125.7699214282,1032791.7914196964,1000000.0
2020-02-13,1037318.970183863,1029217.1565052379,1000000.0
2020-02-14,1038725.1654066943,1030686.1997539448,1000000.0
2020-02-18,1034103.7793029004,1025626.670444834,1000000.0
2020-02-19,1036148.4939765926,1035028.379644607,1000000.0
2020-02-20,1034778.1044185391,1029714.7863279559,1000000.0
2020-02-21,1036200.7838450673,1017046.6938812848,1000000.0
2020-02-24,1006677.1744754453,977068.2595356265,1000000.0
2020-02-25,985352.8856569933,944541.1111216461,1000000.0
2020-02-26,978722.5544665828,935999.3786873036,1000000.0
2020-02-27,937415.5572487434,891635.466830156,1000000.0
2020-02-28,918249.1127868289,886133.1452391457,1000000.0
2020-03-02,962867.6168653416,924111.538866938,1000000.0
2020-03-03,945789.3960285103,897204.6191624413,1000000.0
2020-03-04,991359.7757971525,932675.842880045,1000000.0
2020-03-05,962857.408048762,899083.2430592478,1000000.0
2020-03-06,949354.8209785394,876524.8528309657,1000000.0
2020-03-09,885887.072674402,786936.0297854334,1000000.0
2020-03-10,922797.4979695845,829037.98306699,1000000.0
2020-03-11,874883.1088627537,782061.6721949993,1000000.0
2020-03-12,795533.7176060616,699609.5740424433,1000000.0
2020-03-13,860530.3716334995,777032.4350346803,1000000.0
2020-03-16,781453.986113501,678815.6770398995,1000000.0
2020-03-17,826219.7450400443,712538.9039460475,1000000.0
2020-03-18,791763.8702769198,666600.5624953872,1000000.0
2020-03-19,781462.1298770092,680906.8567441199,1000000.0
2020-03-20,737573.6835598446,663333.3773386858,1000000.0
2020-03-23,709969.0597126753,637783.9320167372,1000000.0
2020-03-24,769612.1284236624,707584.1381012824,1000000.0
2020-03-25,778637.0218106182,720569.2705380155,1000000.0
2020-03-26,820234.3246570347,768671.0176671197,1000000.0
2020-03-27,801412.9502018286,740091.7364440992,1000000.0
2020-03-30,832658.4803766165,761974.9561300671,1000000.0
2020-03-31,817358.7765783799,751762.9845536998,1000000.0
2020-04-01,791636.4474455152,716936.2029930224,1000000.0
2020-04-02,790970.4675770293,748149.4076058213,1000000.0
2020-04-03,791096.0184448988,738285.2426424493,1000000.0
2020-04-06,791221.5892414773,789459.9917143175,1000000.0
2020-04-07,791347.1799699285,789360.5517942185,1000000.0
2020-04-08,791472.7906334158,822780.5943728175,1000000.0
2020-04-09,791598.4212351037,831323.1743628134,1000000.0
2020-04-13,791724.0717781569,823177.1205746488,1000000.0
2020-04-14,791849.7422657409,841208.9324368247,1000000.0
2020-04-15,791975.4327010212,818152.20650413,1000000.0
2020-04-16,792101.1430871643,814808.8214870763,1000000.0
2020-04-17,792226.8734273369,851017.3016810594,1000000.0
2020-04-20,792352.6237247064,836271.8769991577,1000000.0
2020-04-21,792478.3939824406,809714.9920481171,1000000.0
2020-04-22,792604.1842037077,833973.2288077706,1000000.0
2020-04-23,792729.9943916766,838494.3482063434,1000000.0
2020-04-24,792855.8245495167,847874.3425657399,1000000.0
2020-04-27,792981.6746803976,864849.9438752191,1000000.0
2020-04-28,793107.5447874898,866651.6602022117,1000000.0
