Ticker,AAPL,ABBV,ABT,ADBE,AMD,AMZN,AVGO,AXP,BAC,BLK,BMY,C,COP,COST,CRM,CSCO,CVX,DHR,EOG,GS,HAL,HD,INTC,JNJ,JPM,KO,LLY,MCD,MPC,MRK,MS,MSFT,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PSX,SBUX,SLB,SPGI,TMO,UNH,V,VLO,WFC,WMT,XOM
AAPL,0.0,0.0,0.0,0.6679531216570779,0.0,0.6239793255797857,0.6219059914930298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7498582750580085,0.0,0.6373916397778417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6278132438517698,0.0,0.0,0.0,0.0
ABBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6587583443291443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6730975841913919,0.0,0.0,0.0,0.0,0.0,0.0
ADBE,0.6679531216570779,0.0,0.0,0.0,0.0,0.6589392849988579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7237833220904659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7847101764577741,0.0,0.6663828963957141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6063885892566742,0.0,0.0,0.6199358319643665,0.0,0.0,0.0,0.0
AMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713674383975685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMZN,0.6239793255797857,0.0,0.0,0.6589392849988579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608603242790281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6965273182186941,0.0,0.6076769814143583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVGO,0.6219059914930298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6259233025187035,0.0,0.6483201034356392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7722730753716176,0.6468465571233111,0.0,0.7558704386759741,0.0,0.0,0.0,0.0,0.6152567483087275,0.0,0.0,0.7300879033208422,0.0,0.0,0.0,0.0,0.7816719117512129,0.0,0.0,0.0,0.0,0.0,0.7516132482445195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7065348155959924,0.0,0.7230180107459688,0.0,0.0
BAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7722730753716176,0.0,0.6881673348637135,0.0,0.8775859066870663,0.0,0.0,0.0,0.0,0.6308433110993721,0.0,0.0,0.8359446810335935,0.0,0.0,0.0,0.0,0.9082979320786393,0.0,0.0,0.0,0.0,0.0,0.8445258724668793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604713194307296,0.0,0.8541634930208155,0.0,0.6022726228524449
BLK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6468465571233111,0.6881673348637135,0.0,0.0,0.6630596521170126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6874214471883844,0.0,0.6464291974849788,0.0,0.0,0.6903182077075747,0.0,0.0,0.0,0.0,0.0,0.723815724790126,0.6396468298811295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667704399629,0.0,0.0,0.6654500597000971,0.0,0.6173966817777102,0.0,0.0
